,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
128,123,Eric Reid,CAR,27,SS,13,13,1,39,0,39,5,,,,,,1.0,71,50,21,3,1,
129,124,T.J. Watt *,PIT,24,LOLB,16,16,0,0,0,0,3,6,0,0,0,0,13.0,68,50,18,12,21,
130,125,Vince Williams,PIT,29,RILB,14,14,1,17,1,17,2,,,,,,4.5,76,50,26,8,10,
131,126,Johnathan Joseph,HOU,34,LCB,14,14,2,46,1,28,13,,,,,,0.0,58,49,9,1,0,
132,127,Marshon Lattimore ,NOR,22,RCB,16,16,2,0,0,0,12,4,0,3,91,0,0.0,59,49,10,1,0,
133,128,Marcus Williams,NOR,22,FS,16,16,2,100,0,78,3,1,0,1,0,0,1.0,59,49,10,0,0,
134,129,Rasul Douglas,PHI,24,lcb,16,7,3,14,0,17,4,,,,,,0.0,58,48,10,6,0,
135,130,Christian Jones,DET,27,RLB,16,16,0,0,0,0,3,1,0,0,0,0,1.0,69,48,21,3,4,
136,131,Jason Pierre-Paul,TAM,29,RDE,16,16,0,0,0,0,2,1,0,1,0,0,12.5,58,48,10,16,20,
137,132,Mike Adams,CAR,37,FS,16,16,3,11,0,18,6,,,,,,0.0,75,47,28,3,1,
138,133,Desmond King+,LAC,24,DB,16,8,3,75,1,42,10,1,1,2,0,0,0.0,62,47,15,4,2,
139,134,J.J. Watt*+,HOU,29,LDE,16,16,0,0,0,0,4,7,0,0,0,0,16.0,61,47,14,18,25,
140,135,Jonathan Bostic,PIT,27,LILB,16,14,0,0,0,0,3,,,,,,2.5,73,46,27,5,4,
141,136,A.J. Bouye,JAX,27,RCB,13,13,1,9,0,9,8,,,,,,0.0,54,46,8,0,0,
142,137,Thomas Davis ,CAR,35,RLB,12,12,0,0,0,0,6,0,0,2,0,0,0.0,79,46,33,3,2,
143,138,Reggie Ragland,KAN,25,RILB,16,15,1,67,0,67,1,,,,,,0.5,86,46,40,2,1,
144,139,Darian Stewart,DEN,30,SS,14,14,2,3,0,3,3,0,0,1,0,0,1.0,60,46,14,0,2,
145,140,Alex Anzalone,NOR,24,mlb,16,7,1,2,0,2,2,3,0,0,0,0,2.0,59,45,14,3,6,
146,141,Kyle Fuller *+,CHI,26,LCB,16,16,7,52,0,35,21,,,,,,0.0,55,45,10,0,0,
147,142,Patrick Peterson*,ARI,28,LCB,16,16,2,0,0,0,5,0,0,1,49,0,1.0,54,45,9,2,1,
148,143,Bradley Roby,DEN,26,LCB,15,15,1,0,0,0,12,2,0,0,0,0,0.0,50,45,5,1,0,
149,144,Briean Boddy-Calhoun,CLE,25,db,16,8,0,0,0,0,2,1,0,0,0,0,0.0,56,44,12,0,3,
150,145,DeForest Buckner *,SFO,24,RDT,16,16,0,0,0,0,3,0,0,1,0,0,12.0,67,44,23,17,20,
151,146,Morris Claiborne,NYJ,28,RCB,15,15,2,17,1,17,14,,,,,,0.0,57,44,13,2,0,
152,147,Tashaun Gipson,JAX,28,FS,16,16,1,8,0,8,7,,,,,,0.0,54,44,10,1,1,
153,148,B.J. Goodson,NYG,25,LILB,15,13,2,8,0,5,4,0,0,1,7,0,0.5,61,44,17,4,3,
154,149,Mike Hilton,PIT,24,,15,2,1,0,0,0,8,0,0,2,2,0,1.0,57,44,13,6,5,
155,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
156,150,Gerald Hodges,ARI,27,te,16,6,,,,,,,,,,,0.0,55,44,11,2,1,
157,151,Jonathan Jones,NWE,25,db,16,5,3,34,0,28,7,1,0,0,0,0,1.5,56,44,12,1,3,
158,152,Tre'Davious White ,BUF,23,LCB,16,16,2,37,0,37,8,,,,,,0.0,54,44,10,1,0,
159,153,P.J. Williams,NOR,25,MLB,15,7,1,45,1,45,9,2,0,0,0,0,1.0,53,44,9,2,2,
160,154,Robert Alford,ATL,30,LCB,15,15,0,0,0,0,11,,,,,,0.0,50,43,7,0,0,
161,155,Mark Barron,LAR,29,rilb,12,12,0,0,0,0,1,1,0,0,0,0,1.0,60,43,17,3,1,1
162,156,Justin Evans,TAM,23,FS,10,10,1,0,0,0,2,0,0,1,68,1,0.0,59,43,16,1,0,
163,157,Corey Graham,PHI,33,SS,13,9,1,29,0,29,5,0,0,1,16,0,0.0,56,43,13,1,0,
164,158,Nevin Lawson,DET,27,RCB,15,14,0,0,0,0,5,,,,,,1.0,53,43,10,3,1,
165,159,Darron Lee ,NYJ,24,LILB,12,12,3,82,1,36,5,,,,,,0.0,74,43,31,5,2,
166,160,Eric Murray,KAN,24,SS,15,9,1,0,0,0,2,,,,,,0.0,55,43,12,1,1,
167,161,Dee Ford*,KAN,27,LOLB,16,16,,,,,,7,0,0,0,0,13.0,55,42,13,13,29,
168,162,Brent Grimes,TAM,35,RCB,13,13,0,0,0,0,6,1,0,0,0,0,0.0,48,42,6,0,0,
169,163,A.J. Klein,NOR,27,RLB,16,15,1,6,0,6,3,0,0,2,17,0,2.0,70,42,28,7,4,
170,164,DeMarcus Lawrence*,DAL,26,LDE,16,15,1,13,0,13,1,2,0,1,10,0,10.5,64,42,22,15,23,
171,165,D.J. Swearinger,WAS,27,FS,15,15,4,33,0,22,10,3,0,1,0,0,1.0,53,42,11,0,1,
172,166,Bene Benwikere,2TM,27,,15,8,1,21,0,21,4,1,0,0,0,0,0.5,54,41,13,2,1,
173,167,Bradley Chubb,DEN,22,LOLB,16,16,0,0,0,0,1,2,0,1,4,0,12.0,60,41,19,14,21,
174,168,Justin Coleman,SEA,25,db,16,5,1,0,0,0,10,1,0,2,29,1,0.5,55,41,14,0,1,
175,169,Aaron Donald*+,LAR,27,RDT,16,16,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,
176,170,Casey Hayward,LAC,29,RCB,16,16,0,0,0,0,8,,,,,,0.0,46,41,5,1,0,
177,171,Akiem Hicks*,CHI,29,LDE,16,16,0,0,0,0,5,3,0,0,0,0,7.5,55,41,14,12,16,
178,172,Micah Hyde,BUF,28,SS,15,15,2,16,0,16,5,0,0,1,9,0,0.0,58,41,17,1,0,
179,173,Eddie Jackson *+,CHI,25,SS,14,14,6,81,2,41,15,2,0,1,65,1,1.0,51,41,10,2,1,
180,174,Xavier Rhodes,MIN,28,RCB,14,14,1,3,0,3,7,,,,,,0.0,47,41,6,0,0,
181,175,Darryl Roberts,NYJ,28,lcb,16,10,1,3,0,3,7,,,,,,0.0,48,41,7,3,0,
182,176,Adarius Taylor,TAM,28,MLB,15,10,1,7,0,7,5,1,0,0,0,0,1.0,60,41,19,4,1,
183,177,Michael Thomas*,NYG,28,ss,16,6,2,26,0,26,6,1,0,0,0,0,1.0,59,41,18,2,1,
