,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
52,50,Chris Jones,DAL,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,77,3467,62,0,45.0
53,51,Ryan Allen,NWE,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,76,3491,65,0,45.9
54,52,Pat McAfee,IND,26,,16,0,,,,,,,,,,,,,,,,,,88,5647,41,46.6%,64.2,76,3499,65,1,46.0
55,53,Jeff Locke,MIN,24,,16,0,,,,,,,,,,,,,,,,,,4,253,1,25.0%,63.3,75,3316,65,0,44.2
56,54,Jon Ryan,SEA,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,74,3159,69,2,42.7
57,55,Sam Martin ,DET,23,,16,0,,,,,,,,,,,,,,,,,,70,4492,38,54.3%,64.2,72,3399,72,1,47.2
58,56,Ryan Quigley,NYJ,23,,14,0,,,,,,,,,,,,,,,,,,,,,,,72,3278,67,0,45.5
59,57,Brad Nortman,CAR,24,,16,0,,,,,,,,,,,,,,,,,,2,120,,,60.0,70,3344,72,0,47.8
60,58,Matthew Bosher,ATL,26,,16,0,,,,,,,,,,,,,,,,,,79,4836,50,63.3%,61.2,68,3166,63,2,46.6
61,59,Adam Podlesh,CHI,30,,16,0,,,,,,,,,,,,,,,,,,1,43,,,43.0,68,2763,65,1,40.6
62,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
63,60,Kevin Huber,CIN,28,,14,0,,,,,,,,,,,,,,,,,,,,,,,66,2982,75,0,45.2
64,61,Britton Colquitt,DEN,28,,16,0,,,,,,,,,,,,,,,,,,1,62,,,62.0,65,2893,60,1,44.5
65,62,Tim Masthay,GNB,26,,16,0,,,,,,,,,,,,,,,,,,36,2367,17,47.2%,65.8,64,2854,62,0,44.6
66,63,Brian Moorman,BUF,37,,11,0,,,,,,,,,,,,,,,,,,,,,,,61,2511,62,0,41.2
67,64,Thomas Morstead,NOR,27,,16,0,,,,,,,,,,,,,,,,,,86,5563,52,60.5%,64.7,61,2859,61,0,46.9
68,65,Mike Scifres,SDG,33,,16,0,,,,,,,,,,,,,,,,,,,,,,,56,2417,61,0,43.2
69,66,Shawn Powell,2TM,25,,7,0,,,,,,,,,,,,,,,,,,,,,,,42,1881,66,0,44.8
70,67,Mat McBriar,PIT,34,,9,0,,,,,,,,,,,,,,,,,,,,,,,40,1652,70,1,41.3
71,68,Zoltan Mesko,2TM,27,,8,0,,,,,,,,,,,,,,,,,,,,,,,34,1445,65,1,42.5
72,69,Robert Malone ,NYJ,25,,2,0,,,,,,,,,,,,,,,,,,,,,,,16,740,84,0,46.3
73,70,Tom Brady *,NWE,36,QB,16,16,,,,,,,,,,,,,,,,,,,,,,,1,32,32,0,32.0
74,71,Ben Roethlisberger,PIT,31,QB,16,16,,,,,,,,,,,,,,,,,,,,,,,1,28,28,0,28.0
