,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
228,220,Benny Sapp,KAN,25,,11,0,,,,,,1,21,0,21,21.0,21
229,221,Lito Sheppard*,PHI,25,LCB,13,13,,,,,,1,16,0,16,16.0,173
230,222,Brad Smith,NYJ,23,,16,3,,,,,,1,4,0,4,4.0,161
231,223,Dwight Smith,MIN,28,FS,15,14,1,8,0,8,8.0,,,,,,94
232,224,Musa Smith,BAL,24,,12,0,,,,,,1,27,0,27,27.0,315
233,225,Paul Smith,STL,28,,10,3,,,,,,1,3,0,3,3.0,3
234,226,Rod Smith,DEN,36,WR,16,16,1,2,0,2,2.0,,,,,,509
235,227,Jerald Sowell,TAM,32,,11,0,,,,,,1,11,0,11,11.0,17
236,228,Tony Stewart,CIN,27,,16,3,,,,,,1,10,0,10,10.0,130
237,229,Quinn Sypniewski,BAL,24,,16,3,,,,,,1,11,0,11,11.0,26
238,230,James Thrash,WAS,31,,16,0,,,,,,1,10,0,10,10.0,161
239,231,Marcus Trufant,SEA,26,RCB,15,15,1,0,0,0,0.0,,,,,,0
240,232,Mason Unck,CLE,26,,16,0,1,0,0,0,0.0,,,,,,0
241,233,Fred Wakefield,ARI,28,TE,16,9,,,,,,1,7,0,7,7.0,31
242,234,Delanie Walker,SFO,22,,7,1,,,,,,1,25,0,25,25.0,55
243,235,Pat Watkins,DAL,24,FS,14,9,,,,,,1,0,0,0,0.0,98
244,236,Marquis Weeks,SEA,26,,10,0,,,,,,1,3,0,3,3.0,11
245,237,Dante Wesley,CHI,27,,13,0,1,0,0,0,0.0,,,,,,0
246,238,LenDale White,TEN,22,,13,0,,,,,,1,14,0,14,14.0,318
247,239,Shaud Williams,BUF,26,,5,0,,,,,,1,17,0,17,17.0,19
248,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
249,240,Cory Withrow,SDG,31,,11,0,,,,,,1,0,0,0,0.0,0
